station_name_ja,station_name_ko,wikidata_id,match_status,source
ガーラ湯沢,갈라유자와역,Q1054907,unique_korean_label,Wikidata CC0
かしわ台,가시와다이역,Q6374358,unique_korean_label,Wikidata CC0
かみのやま温泉,가미노야마온센역,Q1137142,unique_korean_label,Wikidata CC0
かるが浜,가루가하마역,Q6373607,unique_korean_label,Wikidata CC0
くいな橋,구이나바시역,Q2580165,unique_korean_label,Wikidata CC0
くぬぎ山,구누기야마역,Q6445119,unique_korean_label,Wikidata CC0
くりこま高原,구리코마코겐역,Q1136550,unique_korean_label,Wikidata CC0
ケーブル八幡宮山上,오토코야마산조역,Q7108964,unique_korean_label,Wikidata CC0
けやき台,게야키다이역,Q5359700,unique_korean_label,Wikidata CC0
コスモスクエア,코스모스퀘어역,Q1136734,unique_korean_label,Wikidata CC0
こどもの国,고도모노쿠니역,Q6425420,unique_korean_label,Wikidata CC0
さいたま新都心,사이타마신토신역,Q801393,unique_korean_label,Wikidata CC0
さがみ野,사가미노역,Q7398969,unique_korean_label,Wikidata CC0
さくらんぼ東根,사쿠란보히가시네역,Q742572,unique_korean_label,Wikidata CC0
さくら夙川,사쿠라슈쿠가와역,Q1041960,unique_korean_label,Wikidata CC0
ささしまライブ,사사시마라이브역,Q11267889,unique_korean_label,Wikidata CC0
さつき野,사쓰키노역,Q7426493,unique_korean_label,Wikidata CC0
サッポロビール庭園,삿포로비루테이엔역,Q3601222,unique_korean_label,Wikidata CC0
しきぶ,시키부역,Q124466758,unique_korean_label,Wikidata CC0
ししぶ,시시부역,Q5359545,unique_korean_label,Wikidata CC0
すずかけ台,스즈카케다이역,Q7651185,unique_korean_label,Wikidata CC0
すすきの,스스키노역,Q3563658,unique_korean_label,Wikidata CC0
すずらんの里,스즈란노사토역,Q7651399,unique_korean_label,Wikidata CC0
スペースワールド,스페이스월드역,Q5360354,unique_korean_label,Wikidata CC0
スポーツセンター,스포츠 센터역,Q4268568,unique_korean_label,Wikidata CC0
せんげん台,센겐다이역,Q842516,unique_korean_label,Wikidata CC0
センター南,센터 미나미역,Q844629,unique_korean_label,Wikidata CC0
センター北,센터 기타역,Q847363,unique_korean_label,Wikidata CC0
ソシオ流通センター,소시오 유통센터역,Q28105552,unique_korean_label,Wikidata CC0
だいどう豊里,다이도토요사토역,Q180979,unique_korean_label,Wikidata CC0
たのうら御立岬公園,다노우라오타치미사키코엔역,Q11271214,unique_korean_label,Wikidata CC0
たまプラーザ,다마 플라자역,Q3299307,unique_korean_label,Wikidata CC0
ちはら台,지하라다이역,Q5097270,unique_korean_label,Wikidata CC0
つきのわ,쓰키노와역,Q7850076,unique_korean_label,Wikidata CC0
つきみ野,쓰키미노역,Q7850073,unique_korean_label,Wikidata CC0
つくし野,쓰쿠시노역,Q7850118,unique_korean_label,Wikidata CC0
つくば,쓰쿠바역,Q1069714,unique_korean_label,Wikidata CC0
つつじヶ丘,쓰쓰지가오카역,Q841913,unique_korean_label,Wikidata CC0
テクノさかき,데쿠노사카키역,Q7695516,unique_korean_label,Wikidata CC0
てだこ浦西,데다코우라니시역,Q11558339,unique_korean_label,Wikidata CC0
テレコムセンター,텔레컴 센터역,Q859177,unique_korean_label,Wikidata CC0
とうきょうスカイツリー,도쿄 스카이트리역,Q900250,unique_korean_label,Wikidata CC0
ドーム前千代崎,도무마에치요자키역,Q666822,unique_korean_label,Wikidata CC0
ときわ台,도키와다이역,Q7813626,unique_korean_label,Wikidata CC0
トマム,도마무역,Q8190718,unique_korean_label,Wikidata CC0
トレードセンター前,트레이드 센터마에역,Q180469,unique_korean_label,Wikidata CC0
ナゴヤドーム前矢田,나고야돔마에야다역,Q903437,unique_korean_label,Wikidata CC0
なにわ橋,나니와바시역,Q858429,unique_korean_label,Wikidata CC0
ニセコ,니세코역,Q848242,unique_korean_label,Wikidata CC0
のの岳,노노다케역,Q7049528,unique_korean_label,Wikidata CC0
ハーバーランド,하버랜드역,Q5654726,unique_korean_label,Wikidata CC0
ハウステンボス,하우스텐보스역,Q852106,unique_korean_label,Wikidata CC0
バスセンター前,버스센터마에역,Q5001181,unique_korean_label,Wikidata CC0
はなみずき通,하나미즈키도리역,Q861759,unique_korean_label,Wikidata CC0
はりま勝原,하리마카쓰하라역,Q5366569,unique_korean_label,Wikidata CC0
バルーンさが,벌룬 사가역,Q4851866,unique_korean_label,Wikidata CC0
はるひ野,하루히노역,Q4496149,unique_korean_label,Wikidata CC0
ひぐち,히구치역,Q5760181,unique_korean_label,Wikidata CC0
ひたち野うしく,히타치노우시쿠역,Q5364808,unique_korean_label,Wikidata CC0
ひばりが丘,히바리가오카역,Q3563799,unique_korean_label,Wikidata CC0
ひばりヶ丘,히바리가오카역,Q8016226,unique_korean_label,Wikidata CC0
ひめじ別所,히메지벳쇼역,Q1042447,unique_korean_label,Wikidata CC0
ひろせ野鳥の森,히로세야초노모리역,Q5770745,unique_korean_label,Wikidata CC0
びわ湖浜大津,하마오쓰 역,Q5644181,unique_korean_label,Wikidata CC0
ファミリー公園前,패밀리코엔마에역,Q5433008,unique_korean_label,Wikidata CC0
フェリーターミナル,페리 터미널역,Q180477,unique_korean_label,Wikidata CC0
ふかや花園,후카야하나조노 역,Q30302602,unique_korean_label,Wikidata CC0
ふじみ野,후지미노역,Q5507442,unique_korean_label,Wikidata CC0
フラワータウン,플라워 타운역,Q5462195,unique_korean_label,Wikidata CC0
ベイサイド・ステーション,베이사이드 스테이션역,Q5368692,unique_korean_label,Wikidata CC0
ポートターミナル,포트 터미널역,Q11339449,unique_korean_label,Wikidata CC0
ポートタウン西,포트 타운 니시역,Q180510,unique_korean_label,Wikidata CC0
ポートタウン東,포트 타운 히가시역,Q180504,unique_korean_label,Wikidata CC0
ほしみ,호시미역,Q1044979,unique_korean_label,Wikidata CC0
ほっとゆだ,홋토유다역,Q8193573,unique_korean_label,Wikidata CC0
マキノ,마키노역,Q5363830,unique_korean_label,Wikidata CC0
マリンパーク,마린 파크역,Q11341119,unique_korean_label,Wikidata CC0
みさき公園,미사키코엔역,Q6875069,unique_korean_label,Wikidata CC0
みずほ台,미즈호다이역,Q6884805,unique_korean_label,Wikidata CC0
みつわ台,미쓰와다이역,Q6883389,unique_korean_label,Wikidata CC0
みどりの,미도리노역,Q5366321,unique_korean_label,Wikidata CC0
みどり湖,미도리코역,Q8013585,unique_korean_label,Wikidata CC0
みどり台,미도리다이역,Q6842906,unique_korean_label,Wikidata CC0
みなとじま,미나토지마역,Q11279137,unique_korean_label,Wikidata CC0
みなとみらい,미나토미라이역,Q3299269,unique_korean_label,Wikidata CC0
みなと元町,미나토모토마치역,Q6863247,unique_korean_label,Wikidata CC0
みなみ寄居,미나미요리이역,Q85869544,unique_korean_label,Wikidata CC0
みの,미노역,Q5358745,unique_korean_label,Wikidata CC0
みのり台,미노리다이역,Q6869225,unique_korean_label,Wikidata CC0
みらい平,미라이다이라역,Q5366385,unique_korean_label,Wikidata CC0
めじろ台,메지로다이역,Q6810499,unique_korean_label,Wikidata CC0
モレラ岐阜,모레라기후역,Q11344646,unique_korean_label,Wikidata CC0
やながわ希望の森公園前,야나가와키보노모리코엔마에역,Q11280402,unique_korean_label,Wikidata CC0
ユーカリが丘,유카리가오카역,Q8062735,unique_korean_label,Wikidata CC0
ゆだ錦秋湖,유다킨슈코역,Q8192723,unique_korean_label,Wikidata CC0
ゆだ高原,유다코겐역,Q8060216,unique_korean_label,Wikidata CC0
ゆめが丘,유메가오카역,Q5367513,unique_korean_label,Wikidata CC0
ゆめみ野,유메미노역,Q11280891,unique_korean_label,Wikidata CC0
ラベンダー畑,라벤더바타케역,Q6502520,unique_korean_label,Wikidata CC0
リゾートゲートウェイ・ステーション,리조트 게이트웨이 스테이션역,Q8014465,unique_korean_label,Wikidata CC0
りんくうタウン,린쿠타운역,Q856990,unique_korean_label,Wikidata CC0
りんくう常滑,린쿠토코나메역,Q7335070,unique_korean_label,Wikidata CC0
ロイズタウン,ROYCE' Town역,Q106491365,unique_korean_label,Wikidata CC0
阿下喜,아게키역,Q4691962,unique_korean_label,Wikidata CC0
阿久比,아구이역,Q4694540,unique_korean_label,Wikidata CC0
阿佐ケ谷,아사가야역,Q800402,unique_korean_label,Wikidata CC0
阿左美,아자미역,Q289670,unique_korean_label,Wikidata CC0
阿川,아가와역,Q4691631,unique_korean_label,Wikidata CC0
阿曽,아소역,Q899005,unique_korean_label,Wikidata CC0
阿蘇,아소역,Q4807479,unique_korean_label,Wikidata CC0
阿倉川,아쿠라가와역,Q2913578,unique_korean_label,Wikidata CC0
阿漕,아코기역,Q898582,unique_korean_label,Wikidata CC0
阿知須,아지스역,Q4699770,unique_korean_label,Wikidata CC0
阿田和,아타와역,Q899275,unique_korean_label,Wikidata CC0
阿南,아난역,Q4751223,unique_korean_label,Wikidata CC0
阿波加茂,아와카모역,Q4829611,unique_korean_label,Wikidata CC0
阿波海南,아와카이난역,Q4829614,unique_korean_label,Wikidata CC0
阿波橘,아와타치바나역,Q4829622,unique_korean_label,Wikidata CC0
阿波座,아와자역,Q1134468,unique_korean_label,Wikidata CC0
阿波山川,아와야마카와역,Q4829623,unique_korean_label,Wikidata CC0
阿波赤石,아와아카이시역,Q4829610,unique_korean_label,Wikidata CC0
阿波川口,아와카와구치역,Q900674,unique_korean_label,Wikidata CC0
阿波川端,아와카와바타역,Q8190594,unique_korean_label,Wikidata CC0
阿波川島,아와카와시마역,Q4829616,unique_korean_label,Wikidata CC0
阿波大宮,아와오미야역,Q4829629,unique_korean_label,Wikidata CC0
阿波大谷,아와오타니역,Q4829630,unique_korean_label,Wikidata CC0
阿波池田,아와이케다역,Q578436,unique_korean_label,Wikidata CC0
阿波中島,아와나카시마역,Q4829620,unique_korean_label,Wikidata CC0
阿波半田,아와한다역,Q4829609,unique_korean_label,Wikidata CC0
阿波富田,아와토미다역,Q4829621,unique_korean_label,Wikidata CC0
阿波福井,아와후쿠이역,Q4829613,unique_korean_label,Wikidata CC0
阿倍野,아베노역,Q135196,unique_korean_label,Wikidata CC0
阿品,아지나역,Q873664,unique_korean_label,Wikidata CC0
愛・地球博記念公園,아이치큐하쿠키넨코엔역,Q861802,unique_korean_label,Wikidata CC0
愛し野,이토시노역,Q6094867,unique_korean_label,Wikidata CC0
愛環梅坪,아이칸우메쓰보역,Q4696915,unique_korean_label,Wikidata CC0
愛甲石田,아이코이시다역,Q1107009,unique_korean_label,Wikidata CC0
愛山,아이잔역,Q4699420,unique_korean_label,Wikidata CC0
愛子,아야시역,Q4830973,unique_korean_label,Wikidata CC0
愛知御津,아이치미토역,Q872467,unique_korean_label,Wikidata CC0
愛宕,아타고역,Q899118,unique_korean_label,Wikidata CC0
愛宕橋,아타고바시역,Q4812647,unique_korean_label,Wikidata CC0
愛別,아이베쓰역,Q4696540,unique_korean_label,Wikidata CC0
愛本,아이모토역,Q4697186,unique_korean_label,Wikidata CC0
愛野,아이노역,Q871135,unique_korean_label,Wikidata CC0
姶良,아이라역,Q900364,unique_korean_label,Wikidata CC0
逢隈,오쿠마역,Q11639834,unique_korean_label,Wikidata CC0
逢妻,아이즈마역,Q871545,unique_korean_label,Wikidata CC0
旭,아사히역,Q863457,unique_korean_label,Wikidata CC0
旭ヶ丘,아사히가오카역,Q4803383,unique_korean_label,Wikidata CC0
旭ケ丘,아사히가오카역,Q5357637,unique_korean_label,Wikidata CC0
旭橋,아사히바시역,Q7484306,unique_korean_label,Wikidata CC0
旭川,아사히카와역,Q1073617,unique_korean_label,Wikidata CC0
旭川四条,아사히카와요조역,Q872636,unique_korean_label,Wikidata CC0
旭前,아사히마에역,Q4803354,unique_korean_label,Wikidata CC0
芦ヶ久保,아시가쿠보역,Q4805059,unique_korean_label,Wikidata CC0
芦屋,아시야역,Q1155425,unique_korean_label,Wikidata CC0
芦屋川,아시야가와역,Q1108743,unique_korean_label,Wikidata CC0
芦花公園,로카코엔역,Q2717793,unique_korean_label,Wikidata CC0
芦原,아시하라 역,Q4805065,unique_korean_label,Wikidata CC0
芦原温泉,아와라온센역,Q4829830,unique_korean_label,Wikidata CC0
芦原橋,아시하라바시역,Q1130913,unique_korean_label,Wikidata CC0
芦原町,아시하라초역,Q4805066,unique_korean_label,Wikidata CC0
芦川,아시가와역,Q4805063,unique_korean_label,Wikidata CC0
芦沢,아시사와역,Q4805146,unique_korean_label,Wikidata CC0
芦別,아시베쓰역,Q898900,unique_korean_label,Wikidata CC0
梓橋,아즈사바시역,Q4833136,unique_korean_label,Wikidata CC0
綾織,아야오리역,Q3890053,unique_korean_label,Wikidata CC0
綾瀬,아야세역,Q390691,unique_korean_label,Wikidata CC0
綾川,아야가와역,Q15306868,unique_korean_label,Wikidata CC0
綾部,아야베역,Q871639,unique_korean_label,Wikidata CC0
綾羅木,아야라기역,Q4830964,unique_korean_label,Wikidata CC0
鮎喰,아쿠이역,Q4701935,unique_korean_label,Wikidata CC0
粟井,아와이역,Q898993,unique_korean_label,Wikidata CC0
粟生,아오역,Q1104653,unique_korean_label,Wikidata CC0
粟生津,아오즈역,Q4833414,unique_korean_label,Wikidata CC0
粟野,아와노역,Q4829804,unique_korean_label,Wikidata CC0
安浦,야스우라역,Q8050123,unique_korean_label,Wikidata CC0
安岡,야스오카역,Q8050084,unique_korean_label,Wikidata CC0
安牛,야스우시역,Q8189327,unique_korean_label,Wikidata CC0
安芸,아키역,Q4700860,unique_korean_label,Wikidata CC0
安芸阿賀,아키아카역,Q4700871,unique_korean_label,Wikidata CC0
安芸幸崎,아키사이자키역,Q4701218,unique_korean_label,Wikidata CC0
安芸川尻,아키카와지리역,Q4700962,unique_korean_label,Wikidata CC0
安芸中野,아키나카노역,Q873122,unique_korean_label,Wikidata CC0
安芸長束,아키나가쓰카역,Q4700843,unique_korean_label,Wikidata CC0
安芸長浜,아키나가하마역,Q4701056,unique_korean_label,Wikidata CC0
安芸津,아키쓰역,Q4701251,unique_korean_label,Wikidata CC0
安芸矢口,아키야구치역,Q4701274,unique_korean_label,Wikidata CC0
安子ケ島,아코가시마역,Q4701501,unique_korean_label,Wikidata CC0
安治川口,아지카와구치역,Q1042791,unique_korean_label,Wikidata CC0
安城,안조역,Q257359,unique_korean_label,Wikidata CC0
安食,아지키역,Q864215,unique_korean_label,Wikidata CC0
安針塚,안진즈카역,Q4765822,unique_korean_label,Wikidata CC0
安栖里,아세리역,Q871103,unique_korean_label,Wikidata CC0
安積永盛,아사카나가모리역,Q876716,unique_korean_label,Wikidata CC0
安善,안젠역,Q1581479,unique_korean_label,Wikidata CC0
安足間,안타로마역,Q4771058,unique_korean_label,Wikidata CC0
安達,아다치역,Q874853,unique_korean_label,Wikidata CC0
安中,안나카역,Q861538,unique_korean_label,Wikidata CC0
安中榛名,안나카하루나역,Q1138259,unique_korean_label,Wikidata CC0
安塚,야스즈카역,Q8050142,unique_korean_label,Wikidata CC0
安田,야스다역,Q5353546,unique_korean_label,Wikidata CC0
安登,아토역,Q4817155,unique_korean_label,Wikidata CC0
安土,아즈치역,Q649689,unique_korean_label,Wikidata CC0
安堂,안도역,Q4761545,unique_korean_label,Wikidata CC0
安曇沓掛,아즈미쿠쓰카케역,Q4833081,unique_korean_label,Wikidata CC0
安曇川,아도가와역,Q4684027,unique_korean_label,Wikidata CC0
安曇追分,아즈미오이와케역,Q4833079,unique_korean_label,Wikidata CC0
安倍川,아베카와역,Q871497,unique_korean_label,Wikidata CC0
安比高原,앗피코겐역,Q4781066,unique_korean_label,Wikidata CC0
安武,야스타케역,Q11450897,unique_korean_label,Wikidata CC0
安部山公園,아베야마코엔역,Q4667259,unique_korean_label,Wikidata CC0
安房鴨川,아와카모가와역,Q552842,unique_korean_label,Wikidata CC0
安房勝山,아와카쓰야마역,Q558545,unique_korean_label,Wikidata CC0
安房小湊,아와코미나토역,Q552825,unique_korean_label,Wikidata CC0
安房天津,아와아마쓰역,Q553048,unique_korean_label,Wikidata CC0
安茂里,아모리역,Q981709,unique_korean_label,Wikidata CC0
安来,야스기역,Q5357024,unique_korean_label,Wikidata CC0
安里,아사토역,Q7571723,unique_korean_label,Wikidata CC0
安和,아와역,Q4829648,unique_korean_label,Wikidata CC0
鞍手,구라테역,Q11663882,unique_korean_label,Wikidata CC0
鞍馬,구라마역,Q6445553,unique_korean_label,Wikidata CC0
鞍馬口,구라마구치역,Q2579972,unique_korean_label,Wikidata CC0
伊賀,이가역,Q5991412,unique_korean_label,Wikidata CC0
伊賀屋,이가야역,Q5359030,unique_korean_label,Wikidata CC0
伊賀上津,이가코즈역,Q5991391,unique_korean_label,Wikidata CC0
伊賀上野,이가우에노역,Q3701508,unique_korean_label,Wikidata CC0
伊賀神戸,이가칸베역,Q8192384,unique_korean_label,Wikidata CC0
伊香牛,이카우시역,Q5995483,unique_korean_label,Wikidata CC0
伊佐領,이사료역,Q6078999,unique_korean_label,Wikidata CC0
伊集院,이주인역,Q5296702,unique_korean_label,Wikidata CC0
伊上,이가미역,Q5991457,unique_korean_label,Wikidata CC0
伊勢奥津,이세오키쓰역,Q4355606,unique_korean_label,Wikidata CC0
伊勢鎌倉,이세카마쿠라역,Q6079510,unique_korean_label,Wikidata CC0
伊勢原,이세하라역,Q4205219,unique_korean_label,Wikidata CC0
伊勢佐木長者町,이세자키초자마치역,Q841434,unique_korean_label,Wikidata CC0
伊勢崎,이세사키역,Q5963232,unique_korean_label,Wikidata CC0
伊勢市,이세시역,Q6079748,unique_korean_label,Wikidata CC0
伊勢若松,이세와카마쓰역,Q6079535,unique_korean_label,Wikidata CC0
伊勢松本,이세마쓰모토역,Q4142990,unique_korean_label,Wikidata CC0
伊勢石橋,이세이시바시역,Q11379108,unique_korean_label,Wikidata CC0
伊勢川口,이세카와구치역,Q4559472,unique_korean_label,Wikidata CC0
伊勢川島,이세카와시마역,Q4142954,unique_korean_label,Wikidata CC0
伊勢大井,이세오이역,Q11378978,unique_korean_label,Wikidata CC0
伊勢竹原,이세타케하라역,Q11379115,unique_korean_label,Wikidata CC0
伊勢中原,이세나카하라역,Q6079520,unique_korean_label,Wikidata CC0
伊勢中川,이세나카가와역,Q6079515,unique_korean_label,Wikidata CC0
伊勢朝日,이세아사히역,Q6079506,unique_korean_label,Wikidata CC0
伊勢田,이세다역,Q6079617,unique_korean_label,Wikidata CC0
伊勢柏崎,이세카시와자키역,Q5357774,unique_korean_label,Wikidata CC0
伊勢八太,이세하타역,Q6079504,unique_korean_label,Wikidata CC0
伊勢八知,이세야치역,Q11378946,unique_korean_label,Wikidata CC0
伊川谷,이카와다니역,Q5358424,unique_korean_label,Wikidata CC0
伊達,다테역,Q874143,unique_korean_label,Wikidata CC0
伊達紋別,다테몬베쓰역,Q5227640,unique_korean_label,Wikidata CC0
伊丹,이타미역,Q848338,unique_korean_label,Wikidata CC0
伊東,이토역,Q6095339,unique_korean_label,Wikidata CC0
伊豆稲取,이즈이나토리역,Q6102179,unique_korean_label,Wikidata CC0
伊豆急下田,이즈큐시모다역,Q6102244,unique_korean_label,Wikidata CC0
伊豆高原,이즈코겐역,Q6102186,unique_korean_label,Wikidata CC0
伊豆仁田,이즈닛타역,Q6102197,unique_korean_label,Wikidata CC0
伊豆多賀,이즈타가역,Q11380555,unique_korean_label,Wikidata CC0
伊豆大川,이즈오카와역,Q6102208,unique_korean_label,Wikidata CC0
伊豆長岡,이즈나가오카역,Q6102191,unique_korean_label,Wikidata CC0
伊豆熱川,이즈아타가와역,Q6102164,unique_korean_label,Wikidata CC0
伊豆北川,이즈홋카와역,Q6102174,unique_korean_label,Wikidata CC0
伊奈,이나역,Q6013231,unique_korean_label,Wikidata CC0
伊奈中央,이나추오역,Q11379278,unique_korean_label,Wikidata CC0
伊那市,이나시역,Q990582,unique_korean_label,Wikidata CC0
伊那小沢,이나코자와역,Q894419,unique_korean_label,Wikidata CC0
伊那松島,이나마쓰시마역,Q991320,unique_korean_label,Wikidata CC0
伊那上郷,이나카미사토역,Q985474,unique_korean_label,Wikidata CC0
伊那新町,이나신마치역,Q991595,unique_korean_label,Wikidata CC0
伊那大島,이나오시마역,Q988687,unique_korean_label,Wikidata CC0
伊那田島,이나타지마역,Q988853,unique_korean_label,Wikidata CC0
伊那八幡,이나야와타역,Q985174,unique_korean_label,Wikidata CC0
伊那福岡,이나후쿠오카역,Q989483,unique_korean_label,Wikidata CC0
伊那北,이나키타역,Q990680,unique_korean_label,Wikidata CC0
伊那本郷,이나혼고역,Q989127,unique_korean_label,Wikidata CC0
伊比井,이비이역,Q5984052,unique_korean_label,Wikidata CC0
伊部,인베역,Q6003510,unique_korean_label,Wikidata CC0
伊保,이호역,Q5994732,unique_korean_label,Wikidata CC0
伊万里,이마리역,Q8189881,unique_korean_label,Wikidata CC0
伊野,이노역,Q10885165,unique_korean_label,Wikidata CC0
伊予横田,이요요코타역,Q898981,unique_korean_label,Wikidata CC0
伊予寒川,이요산가와역,Q1056023,unique_korean_label,Wikidata CC0
伊予亀岡,이요카메오카역,Q899227,unique_korean_label,Wikidata CC0
伊予吉田,이요요시다역,Q899582,unique_korean_label,Wikidata CC0
伊予宮野下,이요미야노시타역,Q4388231,unique_korean_label,Wikidata CC0
伊予桜井,이요사쿠라이역,Q875864,unique_korean_label,Wikidata CC0
伊予三島,이요미시마역,Q872795,unique_korean_label,Wikidata CC0
伊予三芳,이요미요시역,Q898636,unique_korean_label,Wikidata CC0
伊予市,이요시역,Q869533,unique_korean_label,Wikidata CC0
伊予出石,이요이즈시역,Q898960,unique_korean_label,Wikidata CC0
伊予小松,이요코마쓰역,Q875877,unique_korean_label,Wikidata CC0
伊予上灘,이요카미나다역,Q898957,unique_korean_label,Wikidata CC0
伊予西条,이요사이조역,Q871270,unique_korean_label,Wikidata CC0
伊予石城,이요이와키역,Q899531,unique_korean_label,Wikidata CC0
伊予大洲,이요오즈역,Q898968,unique_korean_label,Wikidata CC0
伊予大平,이요오히라역,Q267402,unique_korean_label,Wikidata CC0
伊予中山,이요나카야마역,Q899520,unique_korean_label,Wikidata CC0
伊予長浜,이요나가하마역,Q898941,unique_korean_label,Wikidata CC0
伊予土居,이요도이역,Q875497,unique_korean_label,Wikidata CC0
伊予白滝,이요시라타키역,Q898985,unique_korean_label,Wikidata CC0
伊予氷見,이요히미역,Q875836,unique_korean_label,Wikidata CC0
伊予富田,이요토미타역,Q585178,unique_korean_label,Wikidata CC0
伊予平野,이요히라노역,Q899620,unique_korean_label,Wikidata CC0
伊予北条,이요호조역,Q899115,unique_korean_label,Wikidata CC0
伊予立川,이요타치카와역,Q899589,unique_korean_label,Wikidata CC0
伊予和気,이요와케역,Q899231,unique_korean_label,Wikidata CC0
伊里,이리역,Q6069511,unique_korean_label,Wikidata CC0
為栗,시테구리역,Q894498,unique_korean_label,Wikidata CC0
衣笠,기누가사역,Q844272,unique_korean_label,Wikidata CC0
医療センター,이료 센터역,Q11404632,unique_korean_label,Wikidata CC0
井の頭公園,이노카시라코엔역,Q4201277,unique_korean_label,Wikidata CC0
井荻,이오기역,Q843289,unique_korean_label,Wikidata CC0
井関,이세기역,Q6079625,unique_korean_label,Wikidata CC0
井原市,이바라이치역,Q5983705,unique_korean_label,Wikidata CC0
井原里,이하라노사토역,Q11373396,unique_korean_label,Wikidata CC0
井戸,이도역,Q11373568,unique_korean_label,Wikidata CC0
井高野,이타카노역,Q180463,unique_korean_label,Wikidata CC0
井細田,이사이다역,Q6078639,unique_korean_label,Wikidata CC0
井出,이데역,Q5355744,unique_korean_label,Wikidata CC0
井尻,이지리역,Q5995184,unique_korean_label,Wikidata CC0
井川さくら,이카와사쿠라역,Q11373502,unique_korean_label,Wikidata CC0
井倉,이쿠라역,Q5996374,unique_korean_label,Wikidata CC0
井田川,이다가와역,Q5358568,unique_korean_label,Wikidata CC0
井土ヶ谷,이도가야역,Q5989285,unique_korean_label,Wikidata CC0
井野,이노역,Q1652443,unique_korean_label,Wikidata CC0
磯ノ浦,이소노우라역,Q6086167,unique_korean_label,Wikidata CC0
磯鶏,소케이역,Q7555091,unique_korean_label,Wikidata CC0
磯原,이소하라역,Q5353468,unique_korean_label,Wikidata CC0
磯山,이소야마역,Q11587968,unique_korean_label,Wikidata CC0
磯子,이소고역,Q79378,unique_korean_label,Wikidata CC0
磯部,이소베역,Q900685,unique_korean_label,Wikidata CC0
磯分内,이소분나이역,Q6085371,unique_korean_label,Wikidata CC0
一ツ木,히토쓰기역,Q5872400,unique_korean_label,Wikidata CC0
一ノ割,이치노와리역,Q5986273,unique_korean_label,Wikidata CC0
一ノ関,이치노세키역,Q800946,unique_korean_label,Wikidata CC0
